sec,nanosec,frame_id,name0,name1,name2,name3,name4,position0,position1,position2,position3,position4,velocity0,velocity1,velocity2,velocity3,velocity4,effort0,effort1,effort2,effort3,effort4
881,265000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829427441348e-09,0.003480571713944152,0.08210037617075794,6.277310338752516e-06,-0.10235767745963582,-1.2055254997340493e-06,0.0,0.0,0.0,0.0,0.0
881,296000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829346374704e-09,0.0034805717138031815,0.08210037617095844,6.277310393549633e-06,-0.1023576774592578,-1.205525491995833e-06,0.0,0.0,0.0,0.0,0.0
881,387000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829306172899e-09,0.0034805717138370515,0.0821003761710018,6.277310351549212e-06,-0.102357677459361,-1.2055254950024911e-06,0.0,0.0,0.0,0.0,0.0
881,455000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829348568817e-09,0.003480571713899509,0.08210037617101891,6.277310400500571e-06,-0.10235767745980036,-1.2055254935883783e-06,0.0,0.0,0.0,0.0,0.0
881,468000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829358400605e-09,0.0034805717138483476,0.08210037617103852,6.27731032739375e-06,-0.10235767745950754,-1.2055254941421875e-06,0.0,0.0,0.0,0.0,0.0
881,497000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829298507364e-09,0.0034805717139417144,0.08210037617101304,6.277310541725712e-06,-0.10235767746023605,-1.205525492196041e-06,0.0,0.0,0.0,0.0,0.0
881,566000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882936493115e-09,0.0034805717138519814,0.08210037617015578,6.277310507615e-06,-0.10235767745815867,-1.2055254960835588e-06,0.0,0.0,0.0,0.0,0.0
881,663000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829345930183e-09,0.0034805717137147596,0.0821003761711692,6.277310526570481e-06,-0.10235767745965905,-1.2055254915731999e-06,0.0,0.0,0.0,0.0,0.0
881,669000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829328692854e-09,0.0034805717137687134,0.08210037617132841,6.277310402520161e-06,-0.10235767746024246,-1.2055254867140402e-06,0.0,0.0,0.0,0.0,0.0
881,687000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829254130007e-09,0.0034805717137086248,0.08210037617120117,6.2773104007567245e-06,-0.10235767745926172,-1.205525484654466e-06,0.0,0.0,0.0,0.0,0.0
881,764000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.0001023576774148438,-1.440882943094478e-09,0.003480571713770595,0.08210037617111213,6.277310278829711e-06,-0.10235767745985336,-1.2055254961773108e-06,0.0,0.0,0.0,0.0,0.0
881,791000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741662016,-1.440882936641965e-09,0.0034805717138188027,0.08210037617117613,6.27731041955267e-06,-0.10235767746034759,-1.20552548894675e-06,0.0,0.0,0.0,0.0,0.0
881,850000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882941748213e-09,0.003480571713734693,0.08210037617115405,6.277310298288536e-06,-0.10235767745966211,-1.2055254899807627e-06,0.0,0.0,0.0,0.0,0.0
881,900000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613487486e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829344285764e-09,0.003480571713956309,0.08210037617027914,6.277310259490474e-06,-0.10235767745879637,-1.205525489457363e-06,0.0,0.0,0.0,0.0,0.0
881,931000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829451520255e-09,0.0034805717137319464,0.08210037617062814,6.277310274421473e-06,-0.1023576774591731,-1.205525492562697e-06,0.0,0.0,0.0,0.0,0.0
882,0,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613487486e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882934686734e-09,0.0034805717139253472,0.08210037617014268,6.277310409168415e-06,-0.10235767745798008,-1.205525489331826e-06,0.0,0.0,0.0,0.0,0.0
882,69000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.0001023576774148438,-1.440882939978692e-09,0.0034805717137272466,0.08210037617057571,6.277310330949801e-06,-0.10235767745919726,-1.205525494586313e-06,0.0,0.0,0.0,0.0,0.0
882,83000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613487486e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829319038417e-09,0.0034805717136842025,0.0821003761705415,6.277310420873978e-06,-0.10235767745887991,-1.20552548647861e-06,0.0,0.0,0.0,0.0,0.0
882,167000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613665122e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882941817916e-09,0.0034805717136073212,0.08210037617086946,6.2773104477969e-06,-0.10235767745820606,-1.2055254924597505e-06,0.0,0.0,0.0,0.0,0.0
882,193000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882938776955e-09,0.0034805717137516862,0.08210037617031798,6.277310357434544e-06,-0.10235767745821793,-1.2055254887654296e-06,0.0,0.0,0.0,0.0,0.0
882,280000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.440882939052725e-09,0.003480571713812575,0.08210037617039709,6.277310315347729e-06,-0.10235767745882908,-1.2055254875567613e-06,0.0,0.0,0.0,0.0,0.0
882,359000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829322044497e-09,0.003480571713870118,0.08210037617011086,6.277310298496674e-06,-0.10235767745819406,-1.2055254842123938e-06,0.0,0.0,0.0,0.0,0.0
882,389000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.480723210103065e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.440882924236456e-09,0.003480571713853748,0.08210037617064239,6.2773102554946135e-06,-0.10235767745916881,-1.2055254873181652e-06,0.0,0.0,0.0,0.0,0.0
882,459000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741306745,-1.4408829458728185e-09,0.003480571713696421,0.08210037617048706,6.277310416875246e-06,-0.10235767745831123,-1.2055254982081172e-06,0.0,0.0,0.0,0.0,0.0
882,494000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.4408829316070452e-09,0.003480571713831742,0.08210037617037942,6.277310288587734e-06,-0.10235767745846638,-1.2055254906641129e-06,0.0,0.0,0.0,0.0,0.0
882,559000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741395563,-1.4408829260204127e-09,0.003480571713989452,0.08210037617017214,6.2773104159914286e-06,-0.10235767745863991,-1.2055254896437636e-06,0.0,0.0,0.0,0.0,0.0
882,580000000,,joint2,joint3,joint1,joint4,gripper_left_joint,3.4807232092148865e-06,8.210037613576304e-05,1.2865331999734053e-07,-0.00010235767741217927,-1.440882923829027e-09,0.003480571713763398,0.0821003761708683,6.277310265459962e-06,-0.10235767745900834,-1.2055254881604993e-06,0.0,0.0,0.0,0.0,0.0
